L,seed,ee
#14,0,100,4.349544524432058,4.352030263919617
#14,1,100,4.353767247503036,4.352030263919617
#14,2,100,4.35035211752791,4.352030263919617
#14,3,100,4.349964458231632,4.352030263919617
#14,4,100,4.347463100568701,4.352030263919617
#14,5,100,4.350144063770471,4.352030263919617
#14,6,100,4.349047448287379,4.352030263919617
#14,7,100,4.353609504379774,4.352030263919617
#14,8,100,4.346525858741489,4.352030263919617
#14,9,100,4.354487671551438,4.352030263919617
#16,0,100,5.041922538939462,5.045177444479562
#16,1,100,5.042197601370008,5.045177444479562
#16,2,100,5.040747266717026,5.045177444479562
#16,3,100,5.043140748548333,5.045177444479562
#16,4,100,5.044219387206646,5.045177444479562
#16,5,100,5.045362626199726,5.045177444479562
#16,6,100,5.044480671093389,5.045177444479562
#16,7,100,5.0417974865150335,5.045177444479562
#16,8,100,5.040144088911429,5.045177444479562
#16,9,100,5.042748248535807,5.045177444479562
#18,0,100,5.736999032581406,5.738324625039508
#18,1,100,5.737735672687091,5.738324625039508
#18,2,100,5.737280941202353,5.738324625039508
#18,3,100,5.737302702079178,5.738324625039508
#18,4,100,5.737471993881627,5.738324625039508
#18,5,100,5.737224268539761,5.738324625039508
#18,6,100,5.737573664618891,5.738324625039508
#18,7,100,5.737174261283896,5.738324625039508
#18,8,100,5.736901715697637,5.738324625039508
#18,9,100,5.737478013452029,5.738324625039508
#12,0,100,3.645230809549459,3.6588830833596715
#12,1,100,3.6382880759514697,3.6588830833596715
#12,2,100,3.6419048359115935,3.6588830833596715
#12,3,100,3.633094807245586,3.6588830833596715
#12,4,100,3.653149601315165,3.6588830833596715
#12,5,100,3.6594926843593054,3.6588830833596715
#12,6,100,3.6444696990910033,3.6588830833596715
#12,7,100,3.64878653190968,3.6588830833596715
#12,8,100,3.648498512674707,3.6588830833596715
#12,9,100,3.6435545546853776,3.6588830833596715
#20,0,100,6.431469385098984,6.431471805599453
#20,1,100,6.431129766053472,6.431471805599453
#20,2,100,6.430653561568807,6.431471805599453
#20,3,100,6.4301970937815875,6.431471805599453
#20,4,100,6.4304160018436995,6.431471805599453
#20,5,100,6.430701729787197,6.431471805599453
#20,6,100,6.431013902897172,6.431471805599453
#20,7,100,6.430791171029159,6.431471805599453
#20,8,100,6.4309490578455915,6.431471805599453
#20,9,100,6.430998649960779,6.431471805599453
#14,0,1,4.357181214493836,4.352030263919617
#16,0,1,5.045121511406024,5.045177444479562
#18,0,1,5.740622574427722,5.738324625039508
#15,0,1,-0.0,4.352030263919617
12,0,3.652543398475033
12,1,3.6629642274021705
12,2,3.644071186353945
12,3,3.6528200478940596
12,4,3.650239803841263
12,5,3.6611458859732897
12,6,3.648163960855084
12,7,3.640337449781209
12,8,3.6449097910183577
12,9,3.658229410187603
12,10,3.650048416872361
12,11,3.6553562009957647
12,12,3.648069298559727
12,13,3.6489101410961347
12,14,3.651662869252259
12,15,3.650287590293969
12,16,3.6434968474266953
12,17,3.6536443152638234
12,18,3.6631873735630656
12,19,3.658776970152186
14,0,4.3463499495594915
14,1,4.344452951754621
14,2,4.3477572539662255
14,3,4.342633709304674
14,4,4.35123615954448
14,5,4.346784046706032
14,6,4.346633064089476
14,7,4.345872971608632
14,8,4.351916994132116
14,9,4.3519442553457885
14,10,4.349460111531166
14,11,4.347897652476914
14,12,4.3468379468177805
14,14,4.349750000360746
14,15,4.350612016129885
14,16,4.350478600371835
14,17,4.343324929142723
14,18,4.351679861012263
14,19,4.349751093606017
16,0,5.043438590478612
16,1,5.044169524840003
16,2,5.037822968963258
16,3,5.041099846124351
16,4,5.041589229417108
16,5,5.0418474119891705
16,6,5.040498866229424
16,7,5.042502867474566
16,8,5.040843789142283
16,9,5.043313205832464
16,10,5.043318142143934
16,11,5.041174698925755
16,12,5.039968864340588
16,13,5.039877829881412
16,14,5.0420613431372505
16,15,5.043083703580568
16,16,5.041456750414369
16,17,5.044397021323188
16,18,5.042320355445691
16,19,5.042496302133228
18,0,5.7369243011745015
18,1,5.736729863641533
18,2,5.736816102316384
