L,seed,ee
12,0,3.653088341153003
12,1,3.6526193433563803
12,2,3.641259912937281
12,3,3.6511049890585365
12,4,3.645837938060601
12,5,3.643263163027415
12,6,3.6618099281509315
12,7,3.6499014007830155
12,8,3.6449138529130627
12,9,3.658058095976349
12,10,3.6566101117869008
12,11,3.663087435436225
12,12,3.638878753275767
12,13,3.658045446926919
12,14,3.652151429153704
12,15,3.6443462307602488
12,16,3.6551476410009505
12,17,3.678951329285886
12,18,3.6741018385547477
12,19,3.658352119693239
