L,ee_avg
# Used the wrong averaging method
#12,3.6383418056945844
#12,3.6383211364160584
#12,3.6383390534344096
#14,4.352091566260514
#16,5.043448299709525
#18,5.738371514399636
#20,6.431732687118351
#22,-0.0
## Changed the method to separate different Hamiltonian seeds (the convergence criteria is still ||v0-v1||<=tol)
#12,3.6456470112693347
#14,4.350490599499389
#16,5.042676066403687
#18,5.737314226602386
#20,6.430832031986645
#14,4.357181214493836
#16,5.045121511406024
#18,5.740622574427722
#15,0.0
#12,3.6544378543331226
#13,3.9071087129405355
#14,4.304284428148279
#15,4.50776216205453
#16,5.042962956308259
#17,5.293281721281
#18,5.736236398882187
#19,5.986548554529471
#20,6.429431479785806
#20240405_tol=0.01_averaging_over_20samples
12,3.6519432592629
14,4.348177556182151
16,5.041864065590862
18,5.736385305047606
20,6.4294882470417845
22,7.122816770693508
22,7.122816770693508
