L,seed,ee
12,0,3.661662273015069
12,1,3.6514474136694295
12,2,3.6426934225110683
12,3,3.649832459595511
12,4,3.670089381643894
12,5,3.6272734191450597
12,6,3.6552823240817314
12,7,3.6490848655457713
12,8,3.6554522739686144
12,9,3.661481021450264
12,10,3.644905279162227
12,11,3.639697871208492
12,12,3.6633275341421747
12,13,3.653239466418872
12,14,3.645026540561952
12,15,3.6344605250115607
12,16,3.6610602189577115
12,17,3.641478987656993
12,18,3.638847319280743
12,19,3.6577349813279625
